genotype;Cu_eCo2;Cu_aCo2;Fe_eCo2;Fe_aCo2;Mg_eCo2;Mg_aCo2;Mn_eCo2;Mn_aCo2;Na_eCo2;Na_aCo2;Zn_eCo2;Zn_aCo2;C_eCo2;C_aCo2;N_eCo2;N_aCo2;N_change;aCN_ratio;eCN_ratio;eCN_aCN;Fe_change;Mg_change;Mn_change;Na_change;Zn_change
MOU1-11;19.29;8.39;54;70.69;2749.11;3003.97;96.89;56.99;1469.63;1417.93;63.76;41.97;37.02;36.94;6.2;6.59;;;;;;;;;
MOU1-12;19.88;7.47;56.65;69.67;2800;3012.72;124.39;38.57;1448.79;1681.5;61.97;43.15;35.66;37.23;5.66;6.34;;;;;;;;;
MOU1-14;19.88;9.6;51.69;80.18;2679.13;3256.61;130.6;38.4;1452.27;1429.69;107.58;38.96;37.14;35.77;5.76;6.02;;;;;;;;;
MOU1-15;20.02;7.71;59.33;68.39;2941.3;3212.63;149.56;52.98;1731.95;1855.09;98.64;40.46;35.44;37.04;6.29;6.47;;;;;;;;;
MOU1-17;19.71;9.32;57.53;72.49;2769.06;3483.94;109.79;65.67;1959.73;1536.78;92.14;39.54;36.99;37.01;6.2;6.47;;;;;;;;;
MOU1-18;17.21;9.15;59.87;75.97;2871.68;3324.82;79.99;40.28;1611.94;1423.38;86.54;44.39;37.04;37.6;6.2;6.5;;;;;;;;;
MOU1-19;16.83;8.78;61.97;75.3;2670.97;3468.03;118.61;71.78;1482;1278.94;45.97;45;37.5;36.87;5.51;6.68;;;;;;;;;
MOU1-23;20.54;9.6;59.67;68.6;3359.72;3310.44;129.13;76.64;1387.86;1727.74;48.91;51.74;34.38;37.21;6.3;6.33;;;;;;;;;
MOU1-24;17.74;9.28;66.03;89.06;3388.71;4388.3;74.66;43.91;2106.21;2198.79;42.38;53.19;36.18;35.91;6.51;6.5;;;;;;;;;
MOU1-6;15;8.77;51.1;77.63;2491.38;3421.95;91.66;68.86;2118.65;1441.83;25.32;44.27;37.56;37.63;5.1;6.84;;;;;;;;;
MOU1-7;15.08;7.48;47.66;67.53;2885.46;3737.11;109.17;40.62;2120.75;2746.08;67.35;42.36;37.09;35.66;6.14;6.4;;;;;;;;;
MOU1-8;19.06;6.57;56.94;66.39;3069.05;3281.24;95.54;31.62;1546.44;2018.55;84.34;40.37;36.73;38.25;6;6.52;;;;;;;;;
MOU1-9;17.53;10.07;50.26;59.34;3009.03;3087.38;148.97;66.13;2594.08;1104.31;76.55;44.67;35.39;36.92;5.63;6.71;;;;;;;;;
MOU2-3;17.18;8.01;48.24;56.53;3015.4;2963.21;143.41;41.49;2273.88;1785.49;37.45;36.88;35.57;36.83;5.65;6.17;;;;;;;;;
MOU2-10;15.87;6.84;52.41;58.11;2975.32;2952.14;130.53;68.37;1068.3;1145.69;49.28;38.82;35.89;35.3;5.77;6.15;;;;;;;;;
MOU2-11;13;6.42;44.23;65.37;2431.67;3111.42;73.87;46.1;1489.33;1412.36;37.62;38.3;35.11;35.07;6.17;6.35;;;;;;;;;
MOU2-12;13.16;7.19;48.02;70.16;2657.48;3420.27;155.52;78.84;1365.55;989.69;41.2;44.63;36.84;35.68;5.62;6.39;;;;;;;;;
MOU2-13;13.91;8.28;47.75;65.25;2769;3154.39;120.77;58.68;1914.77;1403.11;48.45;37.98;36.85;35.83;5.32;5.57;;;;;;;;;
MOU2-14;18.57;6.64;54.01;59.06;3197.8;3016.12;76.19;44.79;1416.02;1923.81;92.59;29.86;34.97;35.39;6.12;5.66;;;;;;;;;
MOU2-15;14.13;5.19;47.26;51.1;2692.93;2399.94;122.27;65.89;1423.78;820.6;97.61;30.93;36.71;36.84;5.57;5.96;;;;;;;;;
MOU2-17;13.83;7.39;57.34;65.27;2791.54;3150.65;137.06;70.13;1624.63;1162.59;98.08;38.87;37.41;36.44;5.6;6.45;;;;;;;;;
MOU2-19;37.79;7.75;110.34;75.44;2494.86;4432.92;101.97;37.2;2295.24;2270.97;1259.1;32.04;35.5;34.11;4.94;6.25;;;;;;;;;
MOU2-20;18.05;7.44;49.86;68.32;2755.38;3062.3;197.88;66.69;1232.61;1324.57;1147.1;36.48;36.59;36.39;5.75;5.69;;;;;;;;;
MOU2-21;17.03;7.61;50.86;67.98;2647.3;3362.38;119.89;76.07;1090.08;1141;1141.63;44.45;36.98;36.21;5.47;6.11;;;;;;;;;
MOU2-22;20.16;8.07;138.7;57.34;2986.16;3104.16;148.3;56.03;2143.39;1446.24;1186.88;38.15;36.35;35.5;6.02;6.44;;;;;;;;;
MOU2-23;29.18;6.3;209.77;66.75;3288.4;3412.96;139.85;83.76;1454.11;1401.2;1359.41;27.39;34.51;34.98;6.44;6.41;;;;;;;;;
MOU2-25;25.78;5.89;212.78;55.15;2817.46;3715.89;82.81;58.94;1691.57;1469.77;1363.07;36.21;36.17;34.56;5.08;6.03;;;;;;;;;
MOU2-26;24.68;6.5;193.73;70.76;3173.06;3226.41;76.3;58.01;2309.36;1285.03;1250.67;41.16;36.69;35.68;6.43;6.75;;;;;;;;;
MOU2-27;26.35;7.46;203.03;71.07;3013.79;3105.03;93.36;47.77;1784.83;1184.69;1268.36;46.14;36.35;37.04;5.27;5.93;;;;;;;;;
MOU2-4;23.11;6.24;184.67;59.05;2210.39;2497.78;74.47;36.39;1846.2;1234.23;1172.2;30.56;37.25;36.46;4.77;5.06;;;;;;;;;
MOU2-5;6.42;5.32;66.31;71.75;3188.44;3180.84;52.76;64.31;1374.25;989.41;51.58;52.62;35.6;35.69;6.43;6.74;;;;;;;;;
MOU2-6;5.55;5.37;70.22;66.94;3252.69;3049.78;45.85;56.93;1335.34;1345.68;51.88;42.76;36.12;37.07;6.55;6.9;;;;;;;;;
MOU2-7;5.98;5.55;75.96;101.18;3416.45;3349.28;68.49;77.93;1555.56;1251.95;72.22;67.63;36;35.27;6.57;7.02;;;;;;;;;
MOU2-8;5.78;5.02;72.48;81.9;3454.33;3054.43;58.75;58.86;1143.26;947.88;49.84;49.96;36.86;36.93;6.25;6.74;;;;;;;;;
MOU2-9;6.74;7.14;82.14;89.68;3440.23;2964.46;82.39;77.31;1009.35;932.49;57.67;677.01;36.16;36.81;6.44;7.05;;;;;;;;;
NOZ-1;5.88;5.57;77.54;96.05;3595.18;3663.12;77.1;75.17;750.31;903.08;54.67;950.41;35.36;34.5;6.47;7.08;;;;;;;;;
NOZ-11;5.51;5.7;74.08;89.37;3724.62;3680;58.43;66.55;2463.9;1824.15;42.11;1699.29;39.68;36.45;7.56;7.54;;;;;;;;;
